code_id,feature_manifestation,fund_type,level,manager,quarter_low_ranking,running_time,year_low_ranking,year_manifestation
'110022',1.0,股票型,jjpj5,萧楠,0.25,2010-08-20,0.2857142857142857,2784.0
'540006',1.0,股票型,jjpj5,丘栋荣,0.125,2009-06-24,0.125,3206.0
'000577',1.0,股票型,None,陈一峰,0.0,2014-04-21,0.0,1444.0
'000974',1.0,股票型,None,陈一峰,0.125,2015-03-19,0.0,1112.0
'519714',1.0,股票型,None,盖婷婷,0.0,2012-11-07,0.2,1974.0
'000065',1.0,混合型,jjpj5,赵晓东,0.125,2013-05-07,0.25,1793.0
'000121',1.0,混合型,jjpj5,何家琪,0.5,2013-08-13,0.5,1695.0
'000125',1.0,混合型,jjpj5,聂曙光,0.625,2013-07-18,0.5,1721.0
'000215',1.0,混合型,jjpj5,谭昌杰,0.125,2013-09-11,0.5,1666.0
'000314',1.0,混合型,jjpj5,王刚,0.375,2013-11-06,0.25,1610.0
'000480',1.0,混合型,jjpj5,周云,0.0,2014-01-28,0.0,1527.0
'000507',1.0,混合型,jjpj5,丁宇佳,0.125,2014-03-05,0.3333333333333333,1491.0
'000508',1.0,混合型,jjpj5,丁宇佳,0.25,2014-03-05,0.3333333333333333,1491.0
'000511',1.0,混合型,jjpj5,樊利安,0.125,2014-02-17,0.3333333333333333,1507.0
'000512',1.0,混合型,jjpj5,樊利安,0.375,2014-05-19,0.3333333333333333,1416.0
'000557',1.0,混合型,jjpj5,宋璐,0.5,2014-03-11,0.3333333333333333,1485.0
'000556',1.0,混合型,jjpj5,宋璐,0.5,2014-03-11,0.3333333333333333,1485.0
'000572',1.0,混合型,jjpj5,李建,0.25,2014-03-31,0.3333333333333333,1465.0
'000595',1.0,混合型,jjpj5,归凯,0.125,2014-04-04,0.0,1461.0
'000597',1.0,混合型,jjpj5,刘俊,0.375,2014-05-26,0.3333333333333333,1409.0
'000619',1.0,混合型,jjpj5,王延飞,0.0,2014-06-06,0.0,1398.0
'000590',1.0,混合型,jjpj5,贺涛,0.5,2014-04-01,0.3333333333333333,1464.0
'002001',1.0,混合型,jjpj5,蔡向阳,0.25,2003-09-05,0.25,5325.0
'002021',1.0,混合型,jjpj5,蔡向阳,0.125,2006-08-14,0.25,4251.0
'080008',1.0,混合型,jjpj5,冯雨生,0.375,2011-10-26,0.3333333333333333,2352.0
'090013',1.0,混合型,jjpj5,徐彦,0.25,2011-04-20,0.3333333333333333,2541.0
'110011',1.0,混合型,jjpj5,张坤,0.375,2008-06-19,0.375,3576.0
'166020',1.0,混合型,jjpj5,袁维德,0.375,2013-08-21,0.5,1687.0
'180012',1.0,混合型,jjpj5,周可彦,0.125,2006-11-16,0.625,4157.0
'270002',1.0,混合型,jjpj5,傅友兴,0.0,2004-07-26,0.25,5000.0
'340008',1.0,混合型,jjpj5,季侃乐,0.375,2009-03-25,0.125,3297.0
'519050',1.0,混合型,jjpj5,谈云飞,0.5,2013-05-29,0.5,1771.0
'519697',1.0,混合型,jjpj5,何帅,0.25,2009-01-21,0.25,3360.0
'519732',1.0,混合型,jjpj5,杨浩,0.125,2013-09-04,0.0,1673.0
'519738',1.0,混合型,jjpj5,李娜,0.25,2014-05-22,0.3333333333333333,1413.0
'750005',1.0,混合型,jjpj5,庄园,0.5,2012-12-18,0.4,1933.0
'570005',1.0,混合型,jjpj4,郝旭东,0.125,2009-09-22,0.125,3116.0
'000190',1.0,混合型,None,李建,0.25,2013-09-10,0.5,1667.0
'000367',1.0,混合型,None,王琳,0.375,2014-04-30,0.3333333333333333,1435.0
'000436',1.0,混合型,None,胡剑,0.625,2013-12-17,0.75,1569.0
'000526',1.0,混合型,None,樊利安,0.25,2014-03-04,0.3333333333333333,1492.0
'000573',1.0,混合型,None,姜晓丽,0.5,2014-03-14,0.3333333333333333,1482.0
'000708',1.0,混合型,None,郑可成,0.75,2015-01-23,0.5,1167.0
'000714',1.0,混合型,None,吴博俊,0.75,2014-09-15,0.6666666666666666,1297.0
'000753',1.0,混合型,None,徐林明,0.75,2014-09-17,0.6666666666666666,1295.0
'000824',1.0,混合型,None,洪流,0.375,2014-11-19,0.0,1232.0
'000825',1.0,混合型,None,洪流,0.375,2014-11-19,0.0,1232.0
'000844',1.0,混合型,None,李佳亮,0.5,2014-12-01,0.3333333333333333,1220.0
'000849',1.0,混合型,None,丘栋荣,0.0,2014-11-26,0.0,1225.0
'000850',1.0,混合型,None,丘栋荣,0.0,2014-11-26,0.0,1225.0
'000970',1.0,混合型,None,韩冬,0.14285714285714285,2015-01-21,0.0,1169.0
'001029',1.0,混合型,None,桑俊,0.5,2015-02-04,0.0,1155.0
'001067',1.0,混合型,None,刘涛,0.5,2015-02-25,0.0,1134.0
'001110',1.0,混合型,None,张跃鹏,0.5,2015-03-16,0.5,1115.0
'001111',1.0,混合型,None,张跃鹏,0.75,2015-03-16,0.5,1115.0
'001122',1.0,混合型,None,李君,0.75,2015-03-12,0.5,1119.0
'001123',1.0,混合型,None,李君,0.75,2015-03-12,0.5,1119.0
'001136',1.0,混合型,None,李一硕,0.75,2015-03-24,0.5,1107.0
'121010',1.0,混合型,None,李怡文,0.0,2011-12-20,0.3333333333333333,2297.0
'163411',1.0,混合型,None,陈宇,0.125,2011-08-03,0.3333333333333333,2436.0
'169101',1.0,混合型,None,林鹏,0.0,2014-09-19,0.0,1293.0
'169102',1.0,混合型,None,林鹏,0.0,2015-01-19,0.0,1171.0
'210011',1.0,混合型,None,刘丽娟,0.625,2012-11-29,0.6,1952.0
'210010',1.0,混合型,None,刘丽娟,0.5,2012-11-29,0.6,1952.0
'290012',1.0,混合型,None,董山青,0.375,2012-02-22,0.6,2233.0
'420009',1.0,混合型,None,姜晓丽,0.375,2012-11-28,0.8,1953.0
'505888',1.0,混合型,None,郭东谋,0.42857142857142855,2014-09-29,0.6666666666666666,1283.0
'519062',1.0,混合型,None,陈甄璞,0.5,2014-11-20,0.3333333333333333,1231.0
'519130',1.0,混合型,None,谈云飞,0.5,2014-11-27,0.3333333333333333,1224.0
'519971',1.0,混合型,None,黄韵,0.25,2014-08-06,0.3333333333333333,1337.0
'000024',1.0,债券型,jjpj5,张雪,0.25,2013-03-26,0.25,1835.0
'000025',1.0,债券型,jjpj5,张雪,0.5,2013-03-26,0.25,1835.0
'000129',1.0,债券型,jjpj5,朱哲,0.125,2013-05-24,0.5,1776.0
'000128',1.0,债券型,jjpj5,朱哲,0.125,2013-05-24,0.5,1776.0
'000139',1.0,债券型,jjpj5,王颀亮,0.25,2013-09-25,0.5,1652.0
'000171',1.0,债券型,jjpj5,张清华,0.375,2013-08-23,0.0,1685.0
'000286',1.0,债券型,jjpj5,邹维娜,0.25,2013-09-18,0.5,1659.0
'000338',1.0,债券型,jjpj5,刘太阳,0.75,2013-09-18,0.5,1659.0
'020019',1.0,债券型,jjpj5,吴晨,0.0,2009-03-11,0.25,3311.0
'020020',1.0,债券型,jjpj5,吴晨,0.125,2009-03-11,0.375,3311.0
'040026',1.0,债券型,jjpj5,苏玉平,0.375,2011-12-08,0.16666666666666666,2309.0
'050027',1.0,债券型,jjpj5,张李陵,0.25,2012-09-07,0.2,2035.0
'070009',1.0,债券型,jjpj5,李金灿,0.5,2006-04-26,0.5,4361.0
'110008',1.0,债券型,jjpj5,胡剑,0.25,2005-09-19,0.125,4580.0
'110007',1.0,债券型,jjpj5,胡剑,0.25,2005-09-19,0.25,4580.0
'121013',1.0,债券型,jjpj5,蔡玮菁,0.125,2012-12-11,0.6,1940.0
'128013',1.0,债券型,jjpj5,蔡玮菁,0.125,2012-12-11,0.6,1940.0
'128112',1.0,债券型,jjpj5,李怡文,0.375,2010-09-08,0.42857142857142855,2765.0
'121012',1.0,债券型,jjpj5,李怡文,0.375,2010-09-08,0.2857142857142857,2765.0
'217022',1.0,债券型,jjpj5,马龙,0.25,2012-03-21,0.0,2205.0
'233005',1.0,债券型,jjpj5,张雪,0.125,2009-12-29,0.125,3018.0
'240003',1.0,债券型,jjpj5,李栋梁,0.5,2003-07-15,0.625,5377.0
'270044',1.0,债券型,jjpj5,代宇,0.125,2012-09-20,0.4,2022.0
'380009',1.0,债券型,jjpj5,陈玮,0.0,2013-02-04,0.0,1885.0
'519024',1.0,债券型,jjpj5,谈云飞,0.375,2009-03-18,0.5,3304.0
'519153',1.0,债券型,jjpj5,于泽雨,0.25,2012-12-21,0.2,1930.0
'519152',1.0,债券型,jjpj5,于泽雨,0.25,2012-12-21,0.2,1930.0
'519669',1.0,债券型,jjpj5,韩晶,0.25,2012-11-29,0.2,1952.0
'582202',1.0,债券型,jjpj5,王文华,0.125,2011-07-27,0.5,2443.0
'582002',1.0,债券型,jjpj5,王文华,0.125,2011-07-27,0.5,2443.0
'650001',1.0,债券型,jjpj5,易祺坤,0.375,2013-04-24,0.5,1806.0
'650002',1.0,债券型,jjpj5,易祺坤,0.5,2013-04-24,0.5,1806.0
'000045',1.0,债券型,jjpj4,何秀红,0.25,2013-03-29,0.25,1832.0
'000141',1.0,债券型,jjpj4,王颀亮,0.5,2013-09-25,0.5,1652.0
'000406',1.0,债券型,jjpj4,曾刚,0.375,2013-12-03,0.25,1583.0
'000407',1.0,债券型,jjpj4,曾刚,0.375,2013-12-03,0.25,1583.0
'001033',1.0,债券型,jjpj4,柳万军,0.375,2012-09-11,0.6,2031.0
'001031',1.0,债券型,jjpj4,柳万军,0.25,2012-09-11,0.6,2031.0
'020033',1.0,债券型,jjpj4,韩哲昊,0.125,2012-12-26,0.2,1925.0
'020034',1.0,债券型,jjpj4,韩哲昊,0.25,2012-12-26,0.2,1925.0
'040041',1.0,债券型,jjpj4,苏玉平,0.375,2013-02-05,0.5,1884.0
'040040',1.0,债券型,jjpj4,苏玉平,0.375,2013-02-05,0.5,1884.0
'070037',1.0,债券型,jjpj4,曲扬,0.25,2012-12-11,0.6,1940.0
'160217',1.0,债券型,jjpj4,吴晨,0.125,2011-12-29,0.5,2288.0
'217011',1.0,债券型,jjpj4,马龙,0.25,2008-10-22,0.25,3451.0
'519667',1.0,债券型,jjpj4,韩晶,0.625,2008-05-23,0.5,3603.0
'161015',1.0,债券型,jjpj3,李羿,0.375,2011-05-23,0.3333333333333333,2508.0
'519163',1.0,债券型,jjpj3,于泽雨,0.25,2013-12-04,0.25,1582.0
'550004',1.0,债券型,jjpj3,宋海娟,0.375,2008-09-27,0.375,3476.0
'450018',1.0,债券型,jjpj2,刘怡敏,0.375,2012-09-11,0.4,2031.0
'450019',1.0,债券型,jjpj2,刘怡敏,0.5,2012-09-11,0.4,2031.0
'519162',1.0,债券型,jjpj2,于泽雨,0.25,2013-12-04,0.25,1582.0
'000320',1.0,债券型,None,丁宇佳,0.5,2014-08-06,0.3333333333333333,1337.0
'000319',1.0,债券型,None,丁宇佳,0.375,2014-08-06,0.3333333333333333,1337.0
'000420',1.0,债券型,None,施同亮,0.125,2014-11-25,0.3333333333333333,1226.0
'000419',1.0,债券型,None,施同亮,0.125,2014-11-25,0.3333333333333333,1226.0
'000669',1.0,债券型,None,董瑞倩,0.625,2014-07-24,0.0,1350.0
'000668',1.0,债券型,None,董瑞倩,0.5,2014-07-24,0.0,1350.0
'000744',1.0,债券型,None,郑猛,0.25,2014-08-27,0.0,1316.0
'000745',1.0,债券型,None,郑猛,0.375,2014-08-27,0.0,1316.0
'000875',1.0,债券型,None,黎颖芳,0.125,2014-12-02,0.3333333333333333,1219.0
'000899',1.0,债券型,None,胡伟,0.5,2014-12-17,0.3333333333333333,1204.0
'000898',1.0,债券型,None,胡伟,0.25,2014-12-17,0.3333333333333333,1204.0
'000910',1.0,债券型,None,颜昕,0.5714285714285714,2014-12-16,0.6666666666666666,1205.0
'000914',1.0,债券型,None,闫沛贤,0.14285714285714285,2014-12-17,0.3333333333333333,1204.0
'000973',1.0,债券型,None,姚秋,0.0,2015-01-16,0.0,1174.0
'161716',1.0,债券型,None,刘万锋,0.25,2013-03-01,0.25,1860.0
'164208',1.0,债券型,None,陈钢,0.5,2011-11-23,0.2,2324.0
'164509',1.0,债券型,None,刘怡敏,0.2857142857142857,2014-03-10,0.0,1486.0
'164510',1.0,债券型,None,刘怡敏,0.42857142857142855,2014-03-10,0.6666666666666666,1486.0
'164703',1.0,债券型,None,陆文磊,0.25,2013-11-06,0.0,1610.0
'165517',1.0,债券型,None,杨立春,0.25,2012-04-13,0.0,2182.0
'519743',1.0,债券型,None,连端清,0.5714285714285714,2014-12-15,0.0,1206.0